"","Absence_points","NA"
"X1.1342",821685.79614636,582518.12446946
"X1.1343",821685.79614636,980098.12446946
"X1.1344",822342.79614636,-621801.87553054
"X1.1345",822999.79614636,-938321.87553054
"X1.1346",822999.79614636,485053.12446946
"X1.1347",823656.79614636,211958.12446946
"X1.1348",823656.79614636,448383.12446946
"X1.1349",824313.79614636,-674876.87553054
"X1.1350",824313.79614636,-673911.87553054
"X1.1351",824313.79614636,756218.12446946
"X1.1352",824313.79614636,847893.12446946
"X1.1353",825627.79614636,-513721.87553054
"X1.1354",825627.79614636,-312036.87553054
"X1.1355",826284.79614636,-29291.87553054
"X1.1356",826284.79614636,151163.12446946
"X1.1357",826941.79614636,-203956.87553054
"X1.1358",826941.79614636,827628.12446946
"X1.1359",827598.79614636,-548461.87553054
"X1.1360",828255.79614636,-287911.87553054
"X1.1361",828255.79614636,707968.12446946
"X1.1362",828912.79614636,740778.12446946
"X1.1363",829569.79614636,-297561.87553054
"X1.1364",830226.79614636,-776201.87553054
"X1.1365",831540.79614636,-873666.87553054
"X1.1366",832197.79614636,140548.12446946
"X1.1367",832854.79614636,-744356.87553054
"X1.1368",832854.79614636,-464506.87553054
"X1.1369",832854.79614636,771658.12446946
"X1.1370",832854.79614636,814118.12446946
"X1.1371",834825.79614636,-500211.87553054
"X1.1372",835482.79614636,-591886.87553054
"X1.1373",836796.79614636,-989466.87553054
"X1.1374",837453.79614636,-927706.87553054
"X1.1375",837453.79614636,-901651.87553054
"X1.1376",838110.79614636,42118.12446946
"X1.1377",838110.79614636,523653.12446946
"X1.1378",838767.79614636,-374761.87553054
"X1.1379",838767.79614636,883598.12446946
"X1.1380",838767.79614636,1118093.12446946
"X1.1381",839424.79614636,-198166.87553054
"X1.1382",840738.79614636,-518546.87553054
"X1.1383",841395.79614636,-807081.87553054
"X1.1384",841395.79614636,-581271.87553054
"X1.1385",841395.79614636,-34116.87553054
"X1.1386",841395.79614636,195553.12446946
"X1.1387",841395.79614636,1135463.12446946
"X1.1388",842052.79614636,-479946.87553054
"X1.1389",842052.79614636,-101666.87553054
"X1.1390",842052.79614636,73963.12446946
"X1.1391",842709.79614636,20888.12446946
"X1.1392",842709.79614636,150198.12446946
"X1.1393",844023.79614636,-300456.87553054
"X1.1394",844023.79614636,313283.12446946
"X1.1395",844680.79614636,-1009731.87553054
"X1.1396",845337.79614636,377938.12446946
"X1.1397",846651.79614636,621118.12446946
"X1.1398",847308.79614636,-101666.87553054
"X1.1399",847308.79614636,-83331.87553054
"X1.1400",847308.79614636,-58241.87553054
"X1.1401",847965.79614636,775518.12446946
"X1.1402",847965.79614636,1145113.12446946
"X1.1403",848622.79614636,-190446.87553054
"X1.1404",849279.79614636,1034138.12446946
"X1.1405",850593.79614636,-460646.87553054
"X1.1406",851907.79614636,-943146.87553054
"X1.1407",851907.79614636,-674876.87553054
"X1.1408",851907.79614636,-505036.87553054
"X1.1409",851907.79614636,14133.12446946
"X1.1410",853221.79614636,554533.12446946
"X1.1411",853878.79614636,-38941.87553054
"X1.1412",853878.79614636,651998.12446946
"X1.1413",854535.79614636,-371866.87553054
"X1.1414",854535.79614636,-362216.87553054
"X1.1415",855192.79614636,-347741.87553054
"X1.1416",855849.79614636,-610221.87553054
"X1.1417",856506.79614636,-920951.87553054
"X1.1418",856506.79614636,-23501.87553054
"X1.1419",857820.79614636,135723.12446946
"X1.1420",857820.79614636,932813.12446946
"X1.1421",858477.79614636,234153.12446946
"X1.1422",858477.79614636,1120988.12446946
"X1.1423",859134.79614636,-794536.87553054
"X1.1424",859791.79614636,995538.12446946
"X1.1425",860448.79614636,-133511.87553054
"X1.1426",861105.79614636,-532056.87553054
"X1.1427",861762.79614636,-947971.87553054
"X1.1428",863076.79614636,-89121.87553054
"X1.1429",863076.79614636,1079493.12446946
"X1.1430",863733.79614636,-442311.87553054
"X1.1431",865704.79614636,-508896.87553054
"X1.1432",865704.79614636,586378.12446946
"X1.1433",866361.79614636,447418.12446946
"X1.1434",867675.79614636,-965341.87553054
"X1.1435",868332.79614636,-401781.87553054
"X1.1436",868989.79614636,66243.12446946
"X1.1437",869646.79614636,-782956.87553054
"X1.1438",869646.79614636,-337126.87553054
"X1.1439",870303.79614636,344163.12446946
"X1.1440",870960.79614636,-933496.87553054
"X1.1441",872274.79614636,306528.12446946
"X1.1442",872931.79614636,-221326.87553054
"X1.1443",872931.79614636,315213.12446946
"X1.1444",874245.79614636,-669086.87553054
"X1.1445",874902.79614636,-19641.87553054
"X1.1446",875559.79614636,432943.12446946
"X1.1447",876216.79614636,-756901.87553054
"X1.1448",876216.79614636,-189481.87553054
"X1.1449",876216.79614636,1015803.12446946
"X1.1450",878187.79614636,591203.12446946
"X1.1451",878844.79614636,136688.12446946
"X1.1452",879501.79614636,-8061.87553054
"X1.1453",879501.79614636,889388.12446946
"X1.1454",880815.79614636,896143.12446946
"X1.1455",882129.79614636,-887176.87553054
"X1.1456",882786.79614636,1150903.12446946
"X1.1457",883443.79614636,-737601.87553054
"X1.1458",884100.79614636,-336161.87553054
"X1.1459",886071.79614636,-908406.87553054
"X1.1460",886728.79614636,149233.12446946
"X1.1461",889356.79614636,-442311.87553054
"X1.1462",889356.79614636,670333.12446946
"X1.1463",890013.79614636,-663296.87553054
"X1.1464",890013.79614636,423293.12446946
"X1.1465",890013.79614636,596993.12446946
"X1.1466",890013.79614636,867193.12446946
"X1.1467",890670.79614636,482158.12446946
"X1.1468",890670.79614636,911583.12446946
"X1.1469",891327.79614636,-928671.87553054
"X1.1470",891984.79614636,-313966.87553054
"X1.1471",891984.79614636,869123.12446946
"X1.1472",892641.79614636,-715406.87553054
"X1.1473",893955.79614636,408818.12446946
"X1.1474",893955.79614636,414608.12446946
"X1.1475",894612.79614636,-34116.87553054
"X1.1476",894612.79614636,687703.12446946
"X1.1477",895269.79614636,224503.12446946
"X1.1478",895926.79614636,732093.12446946
"X1.1479",897240.79614636,-647856.87553054
"X1.1480",897897.79614636,-293701.87553054
"X1.1481",898554.79614636,-8061.87553054
"X1.1482",901839.79614636,-649786.87553054
"X1.1483",901839.79614636,134758.12446946
"X1.1484",901839.79614636,964658.12446946
"X1.1485",902496.79614636,-825416.87553054
"X1.1486",902496.79614636,-394061.87553054
"X1.1487",902496.79614636,647173.12446946
"X1.1488",903153.79614636,417503.12446946
"X1.1489",904467.79614636,-468366.87553054
"X1.1490",904467.79614636,622083.12446946
"X1.1491",907095.79614636,929918.12446946
"X1.1492",907752.79614636,-610221.87553054
"X1.1493",907752.79614636,77823.12446946
"X1.1494",909066.79614636,344163.12446946
"X1.1495",909723.79614636,-36046.87553054
"X1.1496",909723.79614636,578658.12446946
"X1.1497",910380.79614636,364428.12446946
"X1.1498",911037.79614636,-504071.87553054
"X1.1499",911037.79614636,610503.12446946
"X1.1500",911037.79614636,810258.12446946
"X1.1501",911694.79614636,165638.12446946
"X1.1502",911694.79614636,326793.12446946
"X1.1503",913008.79614636,-947971.87553054
"X1.1504",914979.79614636,-637241.87553054
"X1.1505",915636.79614636,317143.12446946
"X1.1506",916293.79614636,-759796.87553054
"X1.1507",916293.79614636,-751111.87553054
"X1.1508",916293.79614636,66243.12446946
"X1.1509",918921.79614636,-1013591.87553054
"X1.1510",918921.79614636,152128.12446946
"X1.1511",918921.79614636,219678.12446946
"X1.1512",920892.79614636,-76576.87553054
"X1.1513",921549.79614636,-994291.87553054
"X1.1514",921549.79614636,623.12446946
"X1.1515",921549.79614636,189763.12446946
"X1.1516",922206.79614636,-960516.87553054
"X1.1517",922863.79614636,-544601.87553054
"X1.1518",922863.79614636,110633.12446946
"X1.1519",923520.79614636,-554251.87553054
"X1.1520",923520.79614636,943428.12446946
"X1.1521",924177.79614636,97123.12446946
"X1.1522",925491.79614636,-764621.87553054
"X1.1523",925491.79614636,-758831.87553054
"X1.1524",926148.79614636,-325546.87553054
"X1.1525",926148.79614636,72033.12446946
"X1.1526",926148.79614636,1047648.12446946
"X1.1527",926805.79614636,-798396.87553054
"X1.1528",927462.79614636,220643.12446946
"X1.1529",927462.79614636,769728.12446946
"X1.1530",930090.79614636,-271506.87553054
"X1.1531",930090.79614636,337408.12446946
"X1.1532",930090.79614636,383728.12446946
"X1.1533",932718.79614636,-44731.87553054
"X1.1534",932718.79614636,167568.12446946
"X1.1535",932718.79614636,1010978.12446946
"X1.1536",933375.79614636,775518.12446946
"X1.1537",934689.79614636,590238.12446946
"X1.1538",935346.79614636,317143.12446946
"X1.1539",936003.79614636,-379586.87553054
"X1.1540",936660.79614636,-939286.87553054
"X1.1541",936660.79614636,-429766.87553054
"X1.1542",937317.79614636,-976921.87553054
"X1.1543",937317.79614636,-463541.87553054
"X1.1544",937317.79614636,910618.12446946
"X1.1545",938631.79614636,-445206.87553054
"X1.1546",938631.79614636,936673.12446946
"X1.1547",939288.79614636,-237731.87553054
"X1.1548",939288.79614636,902898.12446946
"X1.1549",939288.79614636,1148008.12446946
"X1.1550",939945.79614636,-9026.87553054
"X1.1551",939945.79614636,106773.12446946
"X1.1552",939945.79614636,675158.12446946
"X1.1553",940602.79614636,119318.12446946
"X1.1554",941259.79614636,225468.12446946
"X1.1555",941916.79614636,-974026.87553054
"X1.1556",942573.79614636,-45696.87553054
"X1.1557",942573.79614636,1037998.12446946
"X1.1558",943230.79614636,-699001.87553054
"X1.1559",943887.79614636,158883.12446946
"X1.1560",943887.79614636,475403.12446946
"X1.1561",944544.79614636,1075633.12446946
"X1.1562",945201.79614636,-478016.87553054
"X1.1563",946515.79614636,-270541.87553054
"X1.1564",946515.79614636,966588.12446946
"X1.1565",946515.79614636,1136428.12446946
"X1.1566",947172.79614636,-928671.87553054
"X1.1567",947172.79614636,1087213.12446946
"X1.1568",947829.79614636,64313.12446946
"X1.1569",947829.79614636,1098793.12446946
"X1.1570",948486.79614636,-272471.87553054
"X1.1571",950457.79614636,-34116.87553054
"X1.1572",951114.79614636,-884281.87553054
"X1.1573",951771.79614636,155988.12446946
"X1.1574",951771.79614636,357673.12446946
"X1.1575",951771.79614636,482158.12446946
"X1.1576",951771.79614636,647173.12446946
"X1.1577",952428.79614636,810258.12446946
"X1.1578",953742.79614636,417503.12446946
"X1.1579",953742.79614636,452243.12446946
"X1.1580",956370.79614636,-464506.87553054
"X1.1581",956370.79614636,-190446.87553054
"X1.1582",957027.79614636,-426871.87553054
"X1.1583",957027.79614636,972378.12446946
"X1.1584",957684.79614636,-472226.87553054
"X1.1585",957684.79614636,262138.12446946
"X1.1586",958998.79614636,-202991.87553054
"X1.1587",960312.79614636,-439416.87553054
"X1.1588",960312.79614636,-29291.87553054
"X1.1589",960969.79614636,1040893.12446946
"X1.1590",961626.79614636,-219396.87553054
"X1.1591",962283.79614636,-383446.87553054
"X1.1592",962940.79614636,-703826.87553054
"X1.1593",964911.79614636,-293701.87553054
"X1.1594",965568.79614636,1023523.12446946
"X1.1595",966225.79614636,-485736.87553054
"X1.1596",966225.79614636,1028348.12446946
"X1.1597",966882.79614636,-894896.87553054
"X1.1598",967539.79614636,-123861.87553054
"X1.1599",967539.79614636,1122918.12446946
"X1.1600",969510.79614636,256348.12446946
"X1.1601",969510.79614636,394343.12446946
"X1.1602",970167.79614636,-672946.87553054
"X1.1603",970167.79614636,227398.12446946
"X1.1604",970167.79614636,1159588.12446946
"X1.1605",970824.79614636,-1014556.87553054
"X1.1606",971481.79614636,-909371.87553054
"X1.1607",971481.79614636,951148.12446946
"X1.1608",972795.79614636,378903.12446946
"X1.1609",972795.79614636,868158.12446946
"X1.1610",972795.79614636,1018698.12446946
"X1.1611",973452.79614636,155988.12446946
"X1.1612",974109.79614636,-998151.87553054
"X1.1613",974109.79614636,-143161.87553054
"X1.1614",974766.79614636,-626626.87553054
"X1.1615",974766.79614636,31503.12446946
"X1.1616",975423.79614636,-140266.87553054
"X1.1617",976080.79614636,-983676.87553054
"X1.1618",976080.79614636,-853401.87553054
"X1.1619",976080.79614636,-315896.87553054
"X1.1620",976080.79614636,1036068.12446946
"X1.1621",977394.79614636,-994291.87553054
"X1.1622",977394.79614636,-52451.87553054
"X1.1623",977394.79614636,1012908.12446946
"X1.1624",979365.79614636,374078.12446946
"X1.1625",980022.79614636,-685491.87553054
"X1.1626",980022.79614636,-188516.87553054
"X1.1627",980022.79614636,180113.12446946
"X1.1628",980022.79614636,610503.12446946
"X1.1629",980679.79614636,-475121.87553054
"X1.1630",981336.79614636,1003258.12446946
"X1.1631",983964.79614636,668403.12446946
"X1.1632",983964.79614636,816048.12446946
"X1.1633",984621.79614636,930883.12446946
"X1.1634",985278.79614636,135723.12446946
"X1.1635",986592.79614636,738848.12446946
"X1.1636",988563.79614636,627873.12446946
"X1.1637",988563.79614636,807363.12446946
"X1.1638",989877.79614636,403028.12446946
"X1.1639",989877.79614636,638488.12446946
"X1.1640",990534.79614636,853683.12446946
"X1.1641",992505.79614636,-453891.87553054
"X1.1642",993162.79614636,-805151.87553054
"X1.1643",993162.79614636,573833.12446946
"X1.1644",994476.79614636,-414326.87553054
"X1.1645",995790.79614636,-100701.87553054
"X1.1646",995790.79614636,1104583.12446946
"X1.1647",997104.79614636,48873.12446946
"X1.1648",997761.79614636,1152833.12446946
"X1.1649",998418.79614636,-397921.87553054
"X1.1650",999075.79614636,-174041.87553054
"X1.1651",999075.79614636,546813.12446946
"X1.1652",999732.79614636,-330371.87553054
"X1.1653",1000389.79614636,-777166.87553054
"X1.1654",1000389.79614636,52733.12446946
"X1.1655",1003674.79614636,-723126.87553054
"X1.1656",1003674.79614636,963693.12446946
"X1.1657",1003674.79614636,1109408.12446946
"X1.1658",1004331.79614636,51768.12446946
"X1.1659",1006959.79614636,183008.12446946
"X1.1660",1007616.79614636,148268.12446946
"X1.1661",1008273.79614636,-1002976.87553054
"X1.1662",1008273.79614636,710863.12446946
"X1.1663",1008930.79614636,-595746.87553054
"X1.1664",1009587.79614636,-369936.87553054
"X1.1665",1010244.79614636,-949901.87553054
"X1.1666",1012215.79614636,-544601.87553054
"X1.1667",1013529.79614636,-628556.87553054
"X1.1668",1014186.79614636,-493456.87553054
"X1.1669",1014186.79614636,-224221.87553054
"X1.1670",1014186.79614636,128968.12446946
"X1.1671",1014843.79614636,-784886.87553054
"X1.1672",1016157.79614636,-454856.87553054
"X1.1673",1016157.79614636,-106491.87553054
"X1.1674",1018128.79614636,-930601.87553054
"X1.1675",1018128.79614636,472508.12446946
"X1.1676",1020756.79614636,-1005871.87553054
"X1.1677",1020756.79614636,-12886.87553054
"X1.1678",1021413.79614636,-958586.87553054
"X1.1679",1022070.79614636,-414326.87553054
"X1.1680",1022070.79614636,798678.12446946
"X1.1681",1022727.79614636,-393096.87553054
"X1.1682",1022727.79614636,482158.12446946
"X1.1683",1023384.79614636,-227116.87553054
"X1.1684",1023384.79614636,333548.12446946
"X1.1685",1024041.79614636,-81401.87553054
"X1.1686",1024041.79614636,162743.12446946
"X1.1687",1024041.79614636,1120023.12446946
"X1.1688",1024698.79614636,-783921.87553054
"X1.1689",1026012.79614636,2553.12446946
"X1.1690",1027326.79614636,-528196.87553054
"X1.1691",1027983.79614636,-299491.87553054
"X1.1692",1027983.79614636,636558.12446946
"X1.1693",1027983.79614636,766833.12446946
"X1.1694",1028640.79614636,-539776.87553054
"X1.1695",1029297.79614636,205203.12446946
"X1.1696",1029954.79614636,-485736.87553054
"X1.1697",1030611.79614636,-340986.87553054
"X1.1698",1032582.79614636,520758.12446946
"X1.1699",1032582.79614636,913513.12446946
"X1.1700",1033239.79614636,-635311.87553054
"X1.1701",1033896.79614636,-902616.87553054
"X1.1702",1034553.79614636,-254136.87553054
"X1.1703",1035210.79614636,-121931.87553054
"X1.1704",1035867.79614636,548743.12446946
"X1.1705",1036524.79614636,-60171.87553054
"X1.1706",1037181.79614636,-766551.87553054
"X1.1707",1037181.79614636,572868.12446946
"X1.1708",1037181.79614636,709898.12446946
"X1.1709",1037181.79614636,956938.12446946
"X1.1710",1037838.79614636,45978.12446946
"X1.1711",1039152.79614636,368288.12446946
"X1.1712",1039152.79614636,401098.12446946
"X1.1713",1041780.79614636,271788.12446946
"X1.1714",1043094.79614636,657788.12446946
"X1.1715",1044408.79614636,-65961.87553054
"X1.1716",1045065.79614636,264068.12446946
"X1.1717",1045065.79614636,1096863.12446946
"X1.1718",1045722.79614636,-743391.87553054
"X1.1719",1045722.79614636,762008.12446946
"X1.1720",1045722.79614636,1070808.12446946
"X1.1721",1045722.79614636,1128708.12446946
"X1.1722",1046379.79614636,-805151.87553054
"X1.1723",1047036.79614636,1092038.12446946
"X1.1724",1048350.79614636,-605396.87553054
"X1.1725",1049007.79614636,-892966.87553054
"X1.1726",1049007.79614636,133793.12446946
"X1.1727",1051635.79614636,297843.12446946
"X1.1728",1051635.79614636,544883.12446946
"X1.1729",1052292.79614636,-201061.87553054
"X1.1730",1052949.79614636,-568726.87553054
"X1.1731",1052949.79614636,766833.12446946
"X1.1732",1056234.79614636,695423.12446946
"X1.1733",1057548.79614636,-506966.87553054
"X1.1734",1057548.79614636,207133.12446946
"X1.1735",1057548.79614636,686738.12446946
"X1.1736",1057548.79614636,826663.12446946
"X1.1737",1058205.79614636,-606361.87553054
"X1.1738",1058205.79614636,514003.12446946
"X1.1739",1058862.79614636,-299491.87553054
"X1.1740",1058862.79614636,765868.12446946
"X1.1741",1060176.79614636,1061158.12446946
"X1.1742",1064118.79614636,1013873.12446946
"X1.1743",1065432.79614636,-715406.87553054
"X1.1744",1065432.79614636,1060193.12446946
"X1.1745",1066746.79614636,-184656.87553054
"X1.1746",1067403.79614636,-338091.87553054
"X1.1747",1070688.79614636,1184678.12446946
"X1.1748",1072002.79614636,-942181.87553054
"X1.1749",1072002.79614636,47908.12446946
"X1.1750",1072659.79614636,-385376.87553054
"X1.1751",1073973.79614636,-983676.87553054
"X1.1752",1074630.79614636,-975956.87553054
"X1.1753",1076601.79614636,-973061.87553054
"X1.1754",1076601.79614636,-640136.87553054
"X1.1755",1077258.79614636,-369936.87553054
"X1.1756",1077915.79614636,258278.12446946
"X1.1757",1079229.79614636,-423976.87553054
"X1.1758",1080543.79614636,433908.12446946
"X1.1759",1081857.79614636,-318791.87553054
"X1.1760",1081857.79614636,842103.12446946
"X1.1761",1082514.79614636,623.12446946
"X1.1762",1083171.79614636,-554251.87553054
"X1.1763",1083828.79614636,-426871.87553054
"X1.1764",1084485.79614636,1093003.12446946
"X1.1765",1085142.79614636,-672946.87553054
"X1.1766",1085799.79614636,-453891.87553054
"X1.1767",1085799.79614636,763938.12446946
"X1.1768",1086456.79614636,298808.12446946
"X1.1769",1087113.79614636,-89121.87553054
"X1.1770",1087770.79614636,67208.12446946
"X1.1771",1089084.79614636,187833.12446946
"X1.1772",1089741.79614636,-616976.87553054
"X1.1773",1089741.79614636,57558.12446946
"X1.1774",1091055.79614636,-246416.87553054
"X1.1775",1091055.79614636,-186586.87553054
"X1.1776",1091055.79614636,425223.12446946
"X1.1777",1091055.79614636,800608.12446946
"X1.1778",1091712.79614636,346093.12446946
"X1.1779",1092369.79614636,-16746.87553054
"X1.1780",1093026.79614636,-53416.87553054
"X1.1781",1093026.79614636,549708.12446946
"X1.1782",1093026.79614636,737883.12446946
"X1.1783",1093683.79614636,-391166.87553054
"X1.1784",1093683.79614636,-294666.87553054
"X1.1785",1095654.79614636,400133.12446946
"X1.1786",1096311.79614636,408818.12446946
"X1.1787",1097625.79614636,150198.12446946
"X1.1788",1098282.79614636,-885246.87553054
"X1.1789",1098939.79614636,403993.12446946
"X1.1790",1102224.79614636,-858226.87553054
"X1.1791",1102224.79614636,-479946.87553054
"X1.1792",1102224.79614636,1148973.12446946
"X1.1793",1102881.79614636,729198.12446946
"X1.1794",1103538.79614636,-760761.87553054
"X1.1795",1104195.79614636,-952796.87553054
"X1.1796",1104195.79614636,-137371.87553054
"X1.1797",1104195.79614636,1026418.12446946
"X1.1798",1105509.79614636,760078.12446946
"X1.1799",1106166.79614636,825698.12446946
"X1.1800",1106166.79614636,941498.12446946
"X1.1801",1106823.79614636,609538.12446946
"X1.1802",1106823.79614636,770693.12446946
"X1.1803",1107480.79614636,-516616.87553054
"X1.1804",1107480.79614636,229328.12446946
"X1.1805",1108137.79614636,453208.12446946
"X1.1806",1108794.79614636,-464506.87553054
"X1.1807",1108794.79614636,-347741.87553054
"X1.1808",1109451.79614636,-696106.87553054
"X1.1809",1110108.79614636,474438.12446946
"X1.1810",1110765.79614636,-648821.87553054
"X1.1811",1111422.79614636,395308.12446946
"X1.1812",1112079.79614636,-3236.87553054
"X1.1813",1113393.79614636,-303351.87553054
"X1.1814",1113393.79614636,919303.12446946
"X1.1815",1114050.79614636,422328.12446946
"X1.1816",1115364.79614636,-650751.87553054
"X1.1817",1115364.79614636,489878.12446946
"X1.1818",1116021.79614636,-944111.87553054
"X1.1819",1116021.79614636,-293701.87553054
"X1.1820",1116678.79614636,-708651.87553054
"X1.1821",1117335.79614636,-796466.87553054
"X1.1822",1117335.79614636,-670051.87553054
"X1.1823",1117335.79614636,-203956.87553054
"X1.1824",1117335.79614636,-178866.87553054
"X1.1825",1119306.79614636,-778131.87553054
"X1.1826",1119306.79614636,549708.12446946
"X1.1827",1119963.79614636,-646891.87553054
"X1.1828",1119963.79614636,-341.87553054
"X1.1829",1120620.79614636,-819626.87553054
"X1.1830",1120620.79614636,135723.12446946
"X1.1831",1121277.79614636,48873.12446946
"X1.1832",1121934.79614636,-472226.87553054
"X1.1833",1123248.79614636,-511791.87553054
"X1.1834",1123248.79614636,-210711.87553054
"X1.1835",1123905.79614636,-862086.87553054
"X1.1836",1124562.79614636,1162483.12446946
"X1.1837",1125219.79614636,-876561.87553054
"X1.1838",1125219.79614636,-455821.87553054
"X1.1839",1125876.79614636,-527231.87553054
"X1.1840",1125876.79614636,709898.12446946
"X1.1841",1127190.79614636,-154741.87553054
"X1.1842",1127190.79614636,-129651.87553054
"X1.1843",1127190.79614636,241873.12446946
"X1.1844",1127190.79614636,655858.12446946
"X1.1845",1127847.79614636,-494421.87553054
"X1.1846",1127847.79614636,208098.12446946
"X1.1847",1128504.79614636,-215536.87553054
"X1.1848",1128504.79614636,-203956.87553054
"X1.1849",1129818.79614636,879738.12446946
"X1.1850",1130475.79614636,-935426.87553054
"X1.1851",1130475.79614636,-132546.87553054
"X1.1852",1130475.79614636,846928.12446946
"X1.1853",1131132.79614636,885528.12446946
"X1.1854",1132446.79614636,-530126.87553054
"X1.1855",1132446.79614636,-9991.87553054
"X1.1856",1132446.79614636,357673.12446946
"X1.1857",1133103.79614636,-619871.87553054
"X1.1858",1134417.79614636,1026418.12446946
"X1.1859",1135074.79614636,450313.12446946
"X1.1860",1135074.79614636,958868.12446946
"X1.1861",1135731.79614636,-968236.87553054
"X1.1862",1135731.79614636,730163.12446946
"X1.1863",1137702.79614636,342233.12446946
"X1.1864",1137702.79614636,679018.12446946
"X1.1865",1139016.79614636,402063.12446946
"X1.1866",1139673.79614636,146338.12446946
"X1.1867",1140330.79614636,-423976.87553054
"X1.1868",1140987.79614636,142478.12446946
"X1.1869",1141644.79614636,-703826.87553054
"X1.1870",1142301.79614636,-270541.87553054
"X1.1871",1142301.79614636,901933.12446946
"X1.1872",1142958.79614636,-828311.87553054
"X1.1873",1142958.79614636,-412396.87553054
"X1.1874",1142958.79614636,783238.12446946
"X1.1875",1142958.79614636,1053438.12446946
"X1.1876",1144929.79614636,-610221.87553054
"X1.1877",1147557.79614636,-694176.87553054
"X1.1878",1147557.79614636,5448.12446946
"X1.1879",1148214.79614636,886493.12446946
"X1.1880",1149528.79614636,-365111.87553054
"X1.1881",1149528.79614636,-184656.87553054
"X1.1882",1150185.79614636,-341.87553054
"X1.1883",1150842.79614636,-666191.87553054
"X1.1884",1151499.79614636,-972096.87553054
"X1.1885",1151499.79614636,-722161.87553054
"X1.1886",1154784.79614636,-488631.87553054
"X1.1887",1154784.79614636,132828.12446946
"X1.1888",1154784.79614636,182043.12446946
"X1.1889",1154784.79614636,446453.12446946
"X1.1890",1155441.79614636,143443.12446946
"X1.1891",1156755.79614636,1150903.12446946
"X1.1892",1158726.79614636,28608.12446946
"X1.1893",1158726.79614636,881668.12446946
"X1.1894",1160040.79614636,-809976.87553054
"X1.1895",1160040.79614636,126073.12446946
"X1.1896",1160040.79614636,540058.12446946
"X1.1897",1160697.79614636,-676806.87553054
"X1.1898",1161354.79614636,-987536.87553054
"X1.1899",1162668.79614636,211958.12446946
"X1.1900",1162668.79614636,744638.12446946
"X1.1901",1163325.79614636,-280191.87553054
"X1.1902",1163982.79614636,1130638.12446946
"X1.1903",1164639.79614636,565148.12446946
"X1.1904",1165296.79614636,-297561.87553054
"X1.1905",1165296.79614636,565148.12446946
"X1.1906",1165953.79614636,-552321.87553054
"X1.1907",1165953.79614636,125108.12446946
"X1.1908",1165953.79614636,347058.12446946
"X1.1909",1166610.79614636,-752076.87553054
"X1.1910",1166610.79614636,-547496.87553054
"X1.1911",1168581.79614636,714723.12446946
"X1.1912",1169238.79614636,1116163.12446946
"X1.1913",1170552.79614636,-49556.87553054
"X1.1914",1170552.79614636,1088178.12446946
"X1.1915",1171209.79614636,296878.12446946
"X1.1916",1171866.79614636,-941216.87553054
"X1.1917",1172523.79614636,73963.12446946
"X1.1918",1172523.79614636,632698.12446946
"X1.1919",1172523.79614636,660683.12446946
"X1.1920",1173180.79614636,1054403.12446946
"X1.1921",1175151.79614636,-108421.87553054
"X1.1922",1175151.79614636,128003.12446946
"X1.1923",1175808.79614636,-390201.87553054
"X1.1924",1176465.79614636,513038.12446946
"X1.1925",1176465.79614636,885528.12446946
"X1.1926",1176465.79614636,1028348.12446946
"X1.1927",1177122.79614636,-668121.87553054
"X1.1928",1177122.79614636,502423.12446946
"X1.1929",1177122.79614636,664543.12446946
"X1.1930",1177779.79614636,-623731.87553054
"X1.1931",1177779.79614636,509178.12446946
"X1.1932",1177779.79614636,1137393.12446946
"X1.1933",1178436.79614636,229328.12446946
"X1.1934",1179750.79614636,1079493.12446946
"X1.1935",1180407.79614636,-202991.87553054
"X1.1936",1181064.79614636,562253.12446946
"X1.1937",1181721.79614636,-455821.87553054
"X1.1938",1181721.79614636,468648.12446946
"X1.1939",1181721.79614636,1113268.12446946
"X1.1940",1182378.79614636,1174063.12446946
"X1.1941",1183035.79614636,-337126.87553054
"X1.1942",1183035.79614636,155023.12446946
"X1.1943",1183035.79614636,734023.12446946
"X1.1944",1183035.79614636,1176958.12446946
"X1.1945",1183692.79614636,561288.12446946
"X1.1946",1184349.79614636,321003.12446946
"X1.1947",1185006.79614636,907723.12446946
"X1.1948",1185663.79614636,460928.12446946
"X1.1949",1186320.79614636,85543.12446946
"X1.1950",1188291.79614636,-748216.87553054
"X1.1951",1188291.79614636,113528.12446946
"X1.1952",1189605.79614636,724373.12446946
"X1.1953",1189605.79614636,755253.12446946
"X1.1954",1189605.79614636,1089143.12446946
"X1.1955",1190262.79614636,1133533.12446946
"X1.1956",1190919.79614636,-763656.87553054
"X1.1957",1190919.79614636,-406606.87553054
"X1.1958",1190919.79614636,692528.12446946
"X1.1959",1191576.79614636,-154741.87553054
"X1.1960",1192233.79614636,-771376.87553054
"X1.1961",1192890.79614636,-451961.87553054
"X1.1962",1193547.79614636,-632416.87553054
"X1.1963",1193547.79614636,667438.12446946
"X1.1964",1194204.79614636,-734706.87553054
"X1.1965",1194861.79614636,74928.12446946
"X1.1966",1194861.79614636,984923.12446946
"X1.1967",1196175.79614636,-809976.87553054
"X1.1968",1196175.79614636,774553.12446946
"X1.1969",1199460.79614636,-341.87553054
"X1.1970",1199460.79614636,815083.12446946
"X1.1971",1199460.79614636,851753.12446946
"X1.1972",1200117.79614636,-203956.87553054
"X1.1973",1200117.79614636,1054403.12446946
"X1.1974",1200774.79614636,913513.12446946
